NDB_No	Nutr_No	Flav_Val (mg Per 100g)	SD	N	Min	Max	CC
11357	734	0		1			B
11357	735	0		1			B
11357	736	0		1			B
11357	737	0		1			B
11357	738	0		1			B
11358	734	0		1			B
11358	735	0		1			B
11358	736	0		1			B
11358	737	0		1			B
11358	738	0		1			B
11365	734	0	0	3	0	0	C
11365	735	0	0	3	0	0	C
11365	736	0	0	3	0	0	C
11365	737	0	0	3	0	0	C
11365	738	0	0	3	0	0	C
11367	734	0		2	0	0	C
11367	735	0		2	0	0	C
11367	736	0		2	0	0	C
11367	737	0		2	0	0	C
11367	738	0		2	0	0	C
11429	734	0		2	0	0	B
11429	735	0		2	0	0	B
11429	736	0		2	0	0	B
11429	737	0		2	0	0	B
11429	738	0		2	0	0	B
11435	734	0		1			C
11435	735	0		1			C
11435	736	0		1			C
11435	737	0		1			C
11435	738	0		1			C
11457	734	0		1			C
11457	735	0		1			C
11457	736	0		1			C
11457	737	0		1			C
11457	738	0		1			C
11463	734	0		1			C
11463	735	0		1			C
11463	736	0		1			C
11463	737	0		1			C
11463	738	0		1			C
11477	734	0		1			C
11477	735	0		1			C
11477	736	0		1			C
11477	737	0		1			C
11477	738	0		1			C
11507	734	0		1			B
11507	735	0		1			B
11507	736	0		1			B
11507	737	0		1			B
11507	738	0		1			B
11508	734	0		1			B
11508	735	0		1			B
11508	736	0		1			B
11508	737	0		1			B
11508	738	0		1			B
11510	734	0		1			B
11510	735	0		1			B
11510	736	0		1			B
11510	737	0		1			B
11510	738	0		1			B
11529	734	0	0	4	0	0	C
11529	735	0	0	4	0	0	C
11529	736	0		1			C
11529	737	0		1			C
11529	738	0		1			C
11530	734	0		1			B
11530	735	0		1			B
11530	736	0		1			B
11530	737	0		1			B
11530	738	0		1			B
11564	734	0		1			C
11564	735	0		1			C
11564	736	0		1			C
11564	737	0		1			C
11564	738	0		1			C
11821	734	0	0	8	0	0	B
11821	735	0	0	8	0	0	B
11821	736	0	0	5	0	0	B
11821	737	0	0	5	0	0	B
11821	738	0	0	5	0	0	B
11823	734	0	0	4	0	0	B
11823	735	0	0	4	0	0	B
11823	736	0	0	4	0	0	B
11823	737	0	0	4	0	0	B
11823	738	0	0	4	0	0	B
11953	734	0		3			C
11953	735	0		3			C
11960	734	0		1			B
11960	735	0		1			B
11960	736	0		1			B
11960	737	0		1			B
11960	738	0		1			B
12061	734	9.26	3.16	17	4	18.7	A
12061	735	7.63	2.71	17	2.7	14	A
12061	736	27.42	12.67	17	7	51.36	A
12061	737	28.16	10.93	17	9.6	51.98	A
12061	738	80.26	28.09	8	43.86	120.94	A
12078	734	0		1			B
12078	735	0		1			B
12078	736	0		1			B
12078	737	0		1			B
12078	738	0		1			B
12087	734	2.02	0.42	7	1.49	2.55	A
12087	735	0	0	7	0	0	A
12087	736	0	0	7	0	0	A
12087	737	0	0	7	0	0	A
12087	738	0	0	7	0	0	A
12099	734	0.01		3			C
12099	735	0.02		3			C
12120	734	12.51	3.84	8	4.43	17.73	A
12120	735	13.56	3.93	8	4.93	17.09	A
12120	736	67.72	20.34	8	22.78	85.57	A
12120	737	74.6	21.9	8	26.06	102.69	A
12120	738	322.44	102.48	8	98.1	442.95	A
12132	734	0		1			B
12132	735	0		1			B
12132	736	0		1			B
12132	737	0		1			B
12132	738	0		1			B
12142	734	42.13	5.42	8	33.74	49.46	A
12142	735	26.03	1.98	8	22.82	28.77	A
12142	736	101.43	10.45	8	87.44	119.79	A
12142	737	84.23	12.9	8	65	99.54	A
12142	738	223.01	59.05	8	140.58	297.31	A
12147	734	0		1			B
12147	735	0		1			B
12147	736	0		1			B
12147	737	0		1			B
12147	738	0		1			B
12151	734	13.26	1.8	7	10.11	15.1	A
12151	735	10.51	1.22	7	8.49	12	A
12151	736	42.24	5.23	7	32.33	47.26	A
12151	737	37.93	4.93	7	28.36	43.28	A
12151	738	122.46	37.1	7	53.25	158.74	A
12155	734	5.65	0.89	8	4.02	6.63	A
12155	735	7.19	1.16	8	5.04	8.49	A
12155	736	22.05	3.31	8	16.64	26.14	A
12155	737	5.41	0.81	8	4.2	6.54	A
12155	738	20.02	9.27	8	5.34	39.43	A
14003	734	0.82	0.42	8	0.08	1.17	B
14003	735	0.16	0.07	7	0.07	0.3	B
14003	736	0.34	0.1	3	0.21	0.4	B
14003	737	0	0	3	0	0	B
14003	738	0	0	3	0	0	B
14096	734	12.3	8.9	270	0.5	95.1	B
14096	735	2.43	2.25	73	0.17	15.7	B
14096	736	2.51	1.05	57	0.54	8.6	B
14096	737	3.77	1.95	3	1.3	5	B
14096	738	8.6	3.79	3	3.8	11	B
14097	734	15.16	7.79	34	1.06	39.32	A
14097	735	2.64		1			C
14099	734	18.33	9.89	20	6.7	53.51	B
14100	734	11.41	2.03	10	8.25	15.65	B
14106	734	0.28	0.06	90	0.04	0.56	B
14106	735	0.07	0.01	49	0	0.11	B
14106	736	0.04	0	45	0.02	0.06	B
14108	734	10.97	0.2	4	10.72	11.21	C
14209	734	0	0	5	0	0	B
14209	735	0	0	5	0	0	B
14209	736	0		2	0	0	B
14209	737	0		2	0	0	B
14209	738	0		2	0	0	B
14242	734	2.04	0.4	5	1.59	2.71	B
14242	735	1.59		2			B
14242	736	4.58		2			B
14242	737	3.84		2			B
14242	738	8.33		2			B
14278	734	2.6	0.73	4	2.21	3.8	C
14278	735	0.7	0.3	4	0.54	1.2	C
14278	736	0.95		1			C
14278	737	0		1			C
14278	738	0		1			C
14317	734	20.6	11.59	3	11.7	33.7	C
14317	735	8.77	5.24	3	5.4	14.8	C
14317	736	12.1	9.66	3	5.6	23.2	C
14317	737	0.77	0.68	3	0	1.3	C
14355	734	2.98	1.39	4	0.7	3.74	C
14355	735	0.37	0.02	4	0.34	0.38	C
14355	736	0.35		1			C
14355	737	0		1			C
14355	738	0		1			C
14431	734	2.23	0.53	4	1.36	2.53	C
14602	734	14.69	3.71	14	4.9	22.66	B
16001	734	19.4		2			B
16001	735	18.1		2			B
16001	736	80		2			B
16001	737	75.7		2			B
16001	738	252.9		2			B
16014	734	5.2		2			B
16014	735	0		2	0	0	B
16014	736	0		2	0	0	B
16014	737	0		2	0	0	B
16014	738	0		2	0	0	B
16032	734	26.4		2			B
16032	735	29.1		2			B
16032	736	117.7		2			B
16032	737	105.3		2			B
16032	738	263.4		2			B
16037	734	0		1			B
16037	735	0		1			B
16037	736	0		1			B
16037	737	0		1			B
16037	738	0		1			B
16042	734	19.22	12.69	7	2.16	34.37	B
16042	735	16.18	12	7	0	29.81	B
16042	736	125.9	9.21	4	112.69	132.52	B
16042	737	135.62	10.43	4	120.64	143.75	B
16042	738	459.63	34.15	4	410.41	489.3	B
16043	734	4.4	0.36	4	3.9	4.7	B
16043	735	3.91	0.32	4	3.44	4.15	B
16043	736	10.52	5.46	4	4.24	15.19	B
16043	737	4.32	5.48	4	0	11.43	B
16043	738	1.41	1.66	4	0	3.23	B
16049	734	0.03	0	3	0.03	0.03	C
16049	735	0	0	3	0	0	C
16052	734	0		1			C
16052	735	0		1			C
16052	736	0		1			C
16052	737	0		1			C
16052	738	0		1			C
16056	734	0		3			C
16056	735	0		3			C
16062	734	18.92	8.66	20	3.52	48.78	B
16062	735	21.58	9.07	20	6.1	55.74	B
16062	736	47.9	14.85	20	7.3	93.25	B
16062	737	9.81	9.52	20	0	47.28	B
16062	738	32.66	13.96	20	0	74.14	B
16069	734	1.2	0.29	4	1.04	1.67	C
16069	735	0.11	0.2	4	0	0.44	C
16069	736	0.03		1			D
16085	734	0		1			C
16085	735	0		1			C
16085	736	0		1			C
16085	737	0		1			C
16085	738	0		1			C
16087	734	33.2		1			C
16087	735	48.8		1			C
16087	736	48.1		1			C
16087	737	0		1			C
16087	738	0		1			C
16089	734	4.07	0.7	4	3.12	4.72	B
16089	735	3.67	0.46	4	3.2	4.2	B
16089	736	2.77	0.2	4	2.57	2.97	B
16089	737	0	0	4	0	0	B
16089	738	0	0	4	0	0	B
16098	734	3	0.76	3	2.12	3.5	B
16098	735	8.14	3.49	3	4.14	10.59	B
16098	736	0	0	3	0	0	B
16098	737	0	0	3	0	0	B
16098	738	0	0	3	0	0	B
16108	734	0		2	0	0	B
16108	735	0		2	0	0	B
16108	736	0		2	0	0	B
16108	737	0		2	0	0	B
16108	738	0		2	0	0	B
19078	734	162.84	41.64	6	117	217.38	B
19078	735	123.63	31.23	6	98	186	B
19078	736	358.4	114.68	8	191	563	B
19078	737	240.22	84.68	8	121	366	B
19078	738	562.75	164.85	8	301	830	B
19081	734	2.56		3			C
19081	735	1.38		3			C
19120	734	22.82	3.44	16	18	32	B
19120	735	16.04	3.44	16	11	23	B
19120	736	51.09	11.57	8	38	68	B
19120	737	29.83	12.04	8	8.6	45.42	B
19120	738	55.53	43.01	8	0	114	B
19165	734	277.13	131.98	12	38.2	438	B
19165	735	195.73	93.67	12	28.7	360	B
19165	736	419.05	336.89	12	38.4	1094	B
19165	737	925.18	875.93	12	3.1	2110	B
19165	738	2435.11	1354.96	9	404	4025	B
19166	734	96.47	62.24	17	12	188	B
19166	735	29.24	28.76	17	4	98	B
19166	736	39.82	65.94	17	1	239	B
19166	737	365.53	305.39	17	36	1297	B
19166	738	720.35	575.33	17	133	2465	B
19905	734	61.04	11.26	58	31.2	128	A
19905	735	39.11	9.75	58	21.1	108	A
19905	736	159.73	132.53	12	55.5	454	B
19905	737	93.01	92.2	12	16.3	295	B
19905	738	316.24	250.3	8	12.5	697	B
20004	734	33.64	11.06	35	17.55	59	B
20004	735	30.56	12.95	32	14.6	67.1	B
20004	736	27.2	0	2	27.2	27.2	B
20004	737	0	0	2	0	0	B
20004	738	0	0	2	0	0	B
20008	734	5.79	2.17	8	3.61	8.57	C
20008	735	1.59	0.81	8	0.72	3.25	C
20011	734	46.51		1			D
20031	734	0		1			C
20031	735	0		1			C
20031	736	0		1			C
20031	737	0		1			C
20031	738	0		1			C
20033	734	0		1			C
20033	735	0		1			C
