NDB No	Nutr_No	Nutr_Val	Num_Data_Pts	CC
98042	421	41	3	A
98043	421	39	2	B
98047	421	86	1	B
98050	421	34	1	B
98051	421	36	1	B
98052	421	59	1	B
98055	421	36	1	B
98056	421	35	1	B
98058	421	21	1	B
98059	421	27	1	B
98060	421	26	1	B
98061	421	27	1	B
98062	421	29	1	B
98063	421	28	1	B
98064	421	13	1	B
98069	421	18	1	B
98070	421	14	1	B
98071	421	22	1	B
98080	421	130	1	B
98082	421	130	3	C
98083	421	11	1	C
98084	421	64	2	B
98085	421	62	6	B
98086	421	84	7	B
98087	421	46	7	B
98088	421	65	6	B
98089	421	68	2	B
98092	421	28	1	B
98094	421	34	4	B
98095	421	46	4	B
98096	421	67	13	A
98097	421	65	11	A
98099	421	30	1	B
98100	421	150	2	B
98101	421	110	1	C
98102	421	24	1	B
98103	421	17	1	B
98104	421	4.3	1	B
98105	421	4.8	2	B
98106	421	9.5	1	B
98107	421	5.2	1	B
98108	421	12	1	B
98110	421	60	4	B
98111	421	80	4	B
98112	421	68	4	B
98114	421	2.7	1	B
98116	421	36	2	B
98119	421	18	1	C
98121	421	40	1	C
1001	450	0.6	1	
1009	450	1.6	1	
1012	450	3.6	1	
1014	450	3.7	1	
1015	450	2.9	1	
1017	450	3.6	1	
1029	450	2.3	1	
1040	450	4.5	1	
1046	450	7.9	1	
1049	450	3.9	1	
1056	450	3.9	2	
1069	450	0.5	3	
1077	450	3.7	1	
1079	450	2.8	2	
1082	450	4	1	
1085	450	2.8	1	
1103	450	5.4	1	
1117	450	2.3	2	
1121	450	2.1	2	
1123	450	0.6	15	
1124	450	0.2	4	
1125	450	1.3	4	
1128	450	0.7	4	
1129	450	0.7	4	
1199	450	4	1	
2003	450	50	1	
2009	450	49	1	
2010	450	7	1	
2011	450	29	1	
2015	450	42	1	
2020	450	42	1	
2021	450	33	1	
2024	450	46	1	
2026	450	25	1	
2027	450	28	1	
2028	450	34	1	
2029	450	17	1	
2030	450	9.4	2	
2033	450	7.2	1	
2043	450	21	1	
2044	450	8	1	
2046	450	12	1	
3003	450	1.5	11	
3006	450	1.7	1	
3011	450	2.8	7	
3013	450	3.3	11	
3016	450	1.7	3	
3054	450	3.5	3	
3091	450	2.9	2	
3104	450	4.6	2	
3121	450	5.1	1	
3130	450	0.6	2	
3189	450	5	1	
3298	450	6.7	14	
4025	450	0	2	
4027	450	0.3	1	
4044	450	0	1	
4053	450	0	1	
4114	450	1.5	1	
4582	450	0	1	
4585	450	0.3	1	
4613	450	0.1	1	
4629	450	0.5	1	
4636	450	1.5	1	
4638	450	1.6	1	
5006	450	6	1	
5009	450	5.3	1	
5011	450	5.8	1	
5013	450	5.7	1	
5027	450	49	4	
5028	450	48	4	
5173	450	41	1	
5174	450	9.5	1	
5175	450	25	1	
5176	450	3.9	1	
5177	450	64	1	
5178	450	9.7	1	
5312	450	4.6	1	
5313	450	5.7	2	
5320	450	4	1	
5661	450	69	4	
6019	450	3.3	2	
6030	450	2	1	
6159	450	6.1	1	
6164	450	7.3	1	
6931	450	8.5	2	
7007	450	18	2	
7022	450	3.9	2	
7024	450	6.2	4	
7063	450	8	4	
7064	450	7.1	5	
7075	450	23	1	
7945	450	4.3	2	
7949	450	5.9	2	
7950	450	6.7	3	
7952	450	23	2	
7953	450	5.5	3	
7954	450	3.3	1	
7955	450	2.7	1	
7956	450	0.5	1	
7957	450	6.7	1	
7958	450	2	1	
7959	450	24	3	
7960	450	37	1	
8001	450	26	1	
8012	450	7.1	1	
8013	450	4.4	1	
8014	450	4.2	1	
8020	450	1.4	1	
8030	450	1.8	1	
8061	450	12	1	
8065	450	2	2	
8067	450	12	2	
8074	450	2.9	1	
8077	450	5.8	1	
8084	450	130	2	
8089	450	11	1	
8092	450	4.2	1	
8093	450	1	1	
8105	450	1.6	1	
8121	450	1.3	1	
8147	450	5.5	1	
8202	450	5	1	
8218	450	8.3	1	
8231	450	4.4	1	
8259	450	2	1	
8333	450	6	1	
8363	450	54	2	
8383	450	7.5	1	
8389	450	8.2	1	
8435	450	12	1	
8504	450	11	2	
8505	450	2.6	1	
8506	450	1.6	1	
9003	450	0.3	1	
9032	450	7.1	1	
9038	450	8.6	2	
9040	450	3.2	1	
9042	450	1.8	1	
9050	450	3	1	
9078	450	1.3	1	
9087	450	6.1	2	
9094	450	13	2	
9112	450	3.6	2	
9132	450	4.8	2	
9135	450	3	1	
9148	450	2.6	2	
9160	450	1.1	1	
9181	450	4.1	1	
9191	450	1.7	1	
9202	450	4.7	2	
